Candidato;Palavra;Quantidade;Percentual;Acumulado
Lula;PRESIDENTE;925;0;0
Lula;LULA;5266;0;0
Lula;PASSEIO;1;0;0
Lula;ELEICAO;191;0;0
Lula;GANHA;44;0;0
Lula;TURNO;60;0;0
Lula;VICE;126;0;0
Lula;CHAPA;42;0;0
Lula;COLETIVA;132;0;0
Lula;IMPRENSA;205;0;0
Lula;DECISAO;106;0;0
Lula;ASSEGURA;2;0;0
Lula;DIREITO;279;0;0
Lula;CANDIDATO;515;0;0
Lula;AFIRMA;47;0;0
Lula;ACABAR;86;0;0
Lula;MINISTERIOS;3;0;0
Lula;PROVAVELMENTE;4;0;0
Lula;ACABARAO;1;0;0
Lula;MULHERES;93;0;0
Lula;NEGROS;32;0;0
Lula;DIREITOS;235;0;0
Lula;HUMANOS;65;0;0
Lula;PT;632;0;0
Lula;DEU;83;0;0
Lula;CIDADANIA;26;0;0
Lula;FAZEREM;4;0;0
Lula;POLITICA;417;0;0
Lula;LEGALIZOU;1;0;0
Lula;DOMESTICAS;6;0;0
Lula;APROVOU;14;0;0
Lula;COTAS;13;0;0
Lula;CONTINUO;16;0;0
Lula;LULINHA;15;0;0
Lula;PAZ;94;0;0
Lula;AMOR;40;0;0
Lula;GENTE;924;0;0
Lula;DEITAR;3;0;0
Lula;RAIVA;13;0;0
Lula;ACORDAR;6;0;0
Lula;OLHANDO;15;0;0
Lula;ULTIMAS;10;0;0
Lula;PESQUISAS;52;0;0
Lula;UNICA;90;0;0
Lula;ACREDITAR;37;0;0
Lula;CHICO;64;0;0
Lula;BUARQUE;34;0;0
Lula;CAROL;5;0;0
Lula;PRONER;4;0;0
Lula;CELSO;33;0;0
Lula;AMORIM;37;0;0
Lula;FALAM;43;0;0
Lula;VISITA;373;0;0
Lula;EXPRESIDENTE;427;0;0
Lula;QUINTAFEIRA;38;0;0
Lula;LIVRE;255;0;0
Lula;DEMOCRACIAVIDEO;1;0;0
Lula;ACOMPANHE;230;0;0
Lula;VIVO;600;0;0
Lula;CERIMONIA;11;0;0
Lula;ENTREGA;14;0;0
Lula;DOUTOR;61;0;0
Lula;HONORIS;55;0;0
Lula;CAUSA;97;0;0
Lula;UFPI;7;0;0
Lula;DEIXAREM;7;0;0
Lula;LULAS;27;0;0
Lula;NASCER;9;0;0
Lula;PAIS;1721;0;0
Lula;INFELIZMENTE;14;0;0
Lula;EXISTE;87;0;0
Lula;LEGISLACAO;9;0;0
Lula;RESTO;14;0;0
Lula;IMAGINAVAMOS;3;0;0
Lula;JULGAMENTO;67;0;0
Lula;REGISTRO;40;0;0
Lula;SERIA;91;0;0
Lula;INCLUIDO;7;0;0
Lula;MINUTOS;9;0;0
Lula;FECHAMENTO;3;0;0
Lula;PAUTA;18;0;0
Lula;TSE;44;0;0
Lula;PRAZOS;1;0;0
Lula;SERIAM;4;0;0
Lula;RESPEITADOS;10;0;0
Lula;ACONTECEU;54;0;0
Lula;INCLUIMOS;4;0;0
Lula;POVO;1324;0;0
Lula;TRABALHADOR;139;0;0
Lula;POBRES;204;0;0
Lula;ORCAMENTO;65;0;0
Lula;UNIAO;35;0;0
Lula;PERSEGUICAO;63;0;0
Lula;LULAQUE;1;0;0
Lula;VELHINHOE;1;0;0
Lula;CONQUISTAS;37;0;0
Lula;ENTAO;79;0;0
Lula;PERCEBI;7;0;0
Lula;PROIBICAO;3;0;0
Lula;JUIZ;143;0;0
Lula;VEREADOR;15;0;0
Lula;ADIANTOU;2;0;0
Lula;DIPLOMA;91;0;0
Lula;MENINA;12;0;0
Lula;NINGUEM;206;0;0
Lula;POLITICOS;56;0;0
Lula;LIDERES;24;0;0
Lula;SINDICAIS;11;0;0
Lula;INTELECTUAIS;28;0;0
Lula;REINO;6;0;0
Lula;UNIDO;5;0;0
Lula;DIVULGAM;3;0;0
Lula;ABAIXOASSINADO;6;0;0
Lula;APOIO;64;0;0
Lula;PARTIDO;195;0;0
Lula;TRABALHADORES;250;0;0
Lula;DEFENDE;23;0;0
Lula;AUTONOMIA;12;0;0
Lula;UNIVERSITARIA;10;0;0
Lula;LIBERDADE;216;0;0
Lula;EXPRESSAO;12;0;0
Lula;CATEDRA;1;0;0
Lula;DEMOCRACIA;380;0;0
Lula;DERROTAR;34;0;0
Lula;FACAM;20;0;0
Lula;LIMPA;5;0;0
Lula;URNAS;44;0;0
Lula;DISCUTAM;1;0;0
Lula;PROPOSTAS;52;0;0
Lula;RESPONSABILIDADE;51;0;0
Lula;ELITES;9;0;0
Lula;BRASILEIRAS;33;0;0
Lula;NAMORAM;1;0;0
Lula;AUTORITARIAS;1;0;0
Lula;CEU;11;0;0
Lula;ABERTO;6;0;0
Lula;ASSASSINATO;3;0;0
Lula;SERES;4;0;0
Lula;CONSCIENCIA;92;0;0
Lula;TRANQUILO;44;0;0
Lula;MANTENHO;1;0;0
Lula;BOM;133;0;0
Lula;HUMOR;10;0;0
Lula;QUERO;433;0;0
Lula;CONFIEM;2;0;0
Lula;MIM;209;0;0
Lula;LEVEM;3;0;0
Lula;VITORIA;80;0;0
Lula;PCDOB;21;0;0
Lula;ANUNCIAM;4;0;0
